,date,post_count_anger,post_count_disgust,post_count_fear,post_count_joy,post_count_neutral,post_count_sadness,post_count_surprise,score_anger,score_disgust,score_fear,score_joy,score_neutral,score_sadness,score_surprise,close
93,2022-05-17,52.0,1.0,88.0,319.0,401.0,162.0,314.0,1255.0,1.0,3495.0,7468.0,3289.0,1024.0,21953.0,115.3684998
94,2022-05-18,61.0,1.0,99.0,292.0,395.0,181.0,312.0,1545.0,1.0,6330.0,3537.0,1517.0,1116.0,2991.0,107.1125031
95,2022-05-19,44.0,0.0,87.0,306.0,358.0,205.0,324.0,1780.0,0.0,1316.0,2810.0,1393.0,1783.0,3169.0,107.3190002
96,2022-05-20,70.0,2.0,101.0,260.0,352.0,167.0,300.0,1727.0,23.0,3941.0,4560.0,2090.0,1326.0,2845.0,107.5910034
97,2022-05-23,52.0,2.0,115.0,285.0,402.0,190.0,250.0,1119.0,10.0,1279.0,2454.0,3252.0,1706.0,16089.0,107.5569992
98,2022-05-24,69.0,3.0,99.0,288.0,378.0,181.0,327.0,1225.0,2.0,2757.0,2511.0,1950.0,3802.0,5296.0,104.0999985
99,2022-05-25,41.0,1.0,93.0,247.0,377.0,178.0,311.0,557.0,1.0,546.0,2997.0,6885.0,1358.0,5319.0,106.7750015
100,2022-05-26,61.0,2.0,111.0,267.0,350.0,182.0,292.0,2511.0,4.0,2287.0,4078.0,1726.0,2734.0,2278.0,111.0774994
101,2022-05-27,54.0,2.0,92.0,210.0,321.0,172.0,268.0,933.0,14.0,503.0,3834.0,1536.0,2138.0,6362.0,115.1464996
102,2022-05-31,53.0,3.0,86.0,238.0,307.0,139.0,263.0,632.0,233.0,860.0,1826.0,3698.0,3059.0,2693.0,120.2095032
103,2022-06-01,56.0,1.0,89.0,211.0,308.0,124.0,210.0,945.0,1.0,4627.0,3595.0,2003.0,3798.0,1170.0,121.6839981
104,2022-06-02,43.0,0.0,88.0,254.0,391.0,194.0,279.0,4773.0,0.0,4533.0,2010.0,4557.0,1456.0,2280.0,125.5110016
105,2022-06-03,37.0,2.0,93.0,221.0,331.0,181.0,272.0,2479.0,11.0,1966.0,14868.0,2984.0,3352.0,6619.0,122.3499985
106,2022-06-06,65.0,3.0,110.0,247.0,398.0,181.0,260.0,874.0,9.0,2098.0,2516.0,3222.0,2010.0,4086.0,124.7900009
107,2022-06-07,49.0,2.0,91.0,245.0,354.0,200.0,297.0,881.0,3.0,3635.0,2430.0,1978.0,2053.0,1888.0,123.0
108,2022-06-08,40.0,0.0,96.0,297.0,386.0,177.0,280.0,2634.0,0.0,2327.0,3074.0,2123.0,16782.0,3787.0,121.1800003
109,2022-06-09,44.0,1.0,106.0,220.0,327.0,215.0,260.0,1199.0,1.0,804.0,2479.0,2715.0,3163.0,2917.0,116.1500015
110,2022-06-10,57.0,1.0,93.0,289.0,338.0,171.0,276.0,49094.0,0.0,1469.0,4044.0,2612.0,1996.0,2292.0,109.6500015
